match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
India Vs South Africa,India ,Arshdeep Singh,4,0,20,2,5,12,2,0,0,0,T20I # 2729
India Vs South Africa,India ,Jasprit Bumrah,4,0,18,2,4.5,14,2,0,0,0,T20I # 2729
India Vs South Africa,India ,Axar Patel,4,0,49,1,12.25,8,5,3,2,0,T20I # 2729
India Vs South Africa,India ,Kuldeep Yadav,4,0,45,0,11.25,6,3,3,0,0,T20I # 2729
India Vs South Africa,India ,Hardik Pandya,3,0,20,3,6.66,9,1,1,1,1,T20I # 2729
India Vs South Africa,India ,Ravindra Jadeja,1,0,12,0,12,0,0,1,0,0,T20I # 2729
India Vs South Africa,South Africa,Marco Jansen,4,0,49,1,12.25,4,5,2,1,1,T20I # 2729
India Vs South Africa,South Africa,Keshav Maharaj,3,0,23,2,7.66,10,3,1,0,0,T20I # 2729
India Vs South Africa,South Africa,Kagiso Rabada,4,0,36,1,9,8,2,2,2,0,T20I # 2729
India Vs South Africa,South Africa,Aiden Markram,2,0,16,0,8,1,0,1,0,0,T20I # 2729
India Vs South Africa,South Africa,Anrich Nortje,4,0,26,2,6.5,7,2,0,2,0,T20I # 2729
India Vs South Africa,South Africa,Tabraiz Shamsi,3,0,26,0,8.66,4,1,1,1,0,T20I # 2729
India Vs England,India,Arshdeep Singh,2,0,17,0,8.5,5,3,0,0,0,T20I # 2724
India Vs England,India,Jasprit Bumrah,2.4,0,12,2,4.5,8,1,0,0,0,T20I # 2724
India Vs England,India,Axar Patel,4,0,23,3,5.75,10,0,1,0,0,T20I # 2724
India Vs England,India,Kuldeep Yadav,4,0,19,3,4.75,12,2,0,0,0,T20I # 2724
India Vs England,India,Ravindra Jadeja,3,0,16,0,5.33,6,1,0,0,0,T20I # 2724
India Vs England,India,Hardik Pandya,1,0,14,0,14,1,1,1,0,0,T20I # 2724
India Vs England,England,Reece Topley,3,0,25,1,8.33,8,3,1,0,0,T20I # 2724
India Vs England,England,Jofra Archer,4,0,33,1,8.25,7,4,0,0,0,T20I # 2724
India Vs England,England,Sam Curran,2,0,25,1,12.5,3,2,2,0,0,T20I # 2724
India Vs England,England,Adil Rashid,4,0,25,1,6.25,9,3,0,0,0,T20I # 2724
India Vs England,England,Chris Jordan,3,0,37,3,12.33,4,0,4,0,0,T20I # 2724
India Vs England,England,Liam Livingstone,4,0,24,0,6,9,1,1,1,0,T20I # 2724
Afghanistan Vs South Africa,Afghanistan,Naveen-ul-Haq,3,0,15,0,5,12,2,0,1,0,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,Fazalhaq Farooqi,2,0,11,1,5.5,9,2,0,1,0,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,Rashid Khan,1,0,8,0,8,2,1,0,0,0,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,Azmatullah Omarzai,1.5,0,18,0,9.81,6,2,1,0,1,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,Gulbadin Naib,1,0,8,0,8,2,1,0,0,0,T20I # 2723
Afghanistan Vs South Africa,South Africa,Marco Jansen,3,0,16,3,5.33,13,2,0,4,0,T20I # 2723
Afghanistan Vs South Africa,South Africa,Keshav Maharaj,1,0,6,0,6,3,1,0,0,0,T20I # 2723
Afghanistan Vs South Africa,South Africa,Kagiso Rabada,3,1,14,2,4.66,13,3,0,0,0,T20I # 2723
Afghanistan Vs South Africa,South Africa,Anrich Nortje,3,0,7,2,2.33,14,0,0,1,0,T20I # 2723
Afghanistan Vs South Africa,South Africa,Tabraiz Shamsi,1.5,0,6,3,3.27,9,1,0,1,0,T20I # 2723
Afghanistan Vs Bangladesh,Afghanistan,Naveen-ul-Haq,3.5,0,26,4,6.78,12,3,1,0,0,T20I # 2722
Afghanistan Vs Bangladesh,Afghanistan,Fazalhaq Farooqi,2,0,15,1,7.5,3,1,0,2,0,T20I # 2722
Afghanistan Vs Bangladesh,Afghanistan,Mohammad Nabi,2,0,15,0,7.5,5,2,0,0,0,T20I # 2722
Afghanistan Vs Bangladesh,Afghanistan,Rashid Khan,4,0,23,4,5.75,9,2,0,1,0,T20I # 2722
Afghanistan Vs Bangladesh,Afghanistan,Noor Ahmad,4,0,13,0,3.25,18,2,0,0,0,T20I # 2722
Afghanistan Vs Bangladesh,Afghanistan,Gulbadin Naib,2,0,5,1,2.5,7,0,0,0,0,T20I # 2722
Afghanistan Vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,4,0,36,0,9,9,1,2,1,0,T20I # 2722
Afghanistan Vs Bangladesh,Bangladesh,Taskin Ahmed,4,1,12,1,3,19,0,1,0,0,T20I # 2722
Afghanistan Vs Bangladesh,Bangladesh,Shakib Al Hasan,4,0,19,0,4.75,11,0,1,0,0,T20I # 2722
Afghanistan Vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,17,1,4.25,14,2,0,0,0,T20I # 2722
Afghanistan Vs Bangladesh,Bangladesh,Rishad Hossain,4,0,26,3,6.5,13,3,0,1,0,T20I # 2722
Australia Vs India,Australia,Mitchell Starc,4,0,45,2,11.25,12,4,4,1,0,T20I # 2721
Australia Vs India,Australia,Josh Hazlewood,4,0,14,1,3.5,12,1,0,0,0,T20I # 2721
Australia Vs India,Australia,Pat Cummins,4,0,48,0,12,5,4,3,0,0,T20I # 2721
Australia Vs India,Australia,Adam Zampa,4,0,41,0,10.25,2,1,3,0,0,T20I # 2721
Australia Vs India,Australia,Marcus Stoinis,4,0,56,2,14,6,4,5,1,0,T20I # 2721
Australia Vs India,India,Arshdeep Singh,4,0,37,3,9.25,12,4,2,2,0,T20I # 2721
Australia Vs India,India,Jasprit Bumrah,4,0,29,1,7.25,11,3,1,0,0,T20I # 2721
Australia Vs India,India,Axar Patel,3,0,21,1,7,9,2,1,0,0,T20I # 2721
Australia Vs India,India,Hardik Pandya,4,0,47,0,11.75,8,4,3,1,0,T20I # 2721
Australia Vs India,India,Kuldeep Yadav,4,0,24,2,6,9,1,1,0,0,T20I # 2721
Australia Vs India,India,Ravindra Jadeja,1,0,17,0,17,0,2,1,0,0,T20I # 2721
West Indies Vs South Africa,South Africa,Marco Jansen,2,0,17,1,8.5,6,2,0,4,0,T20I # 2720
West Indies Vs South Africa,South Africa,Aiden Markram,4,0,28,1,7,11,1,2,2,0,T20I # 2720
West Indies Vs South Africa,South Africa,Keshav Maharaj,4,0,24,1,6,10,1,1,0,0,T20I # 2720
West Indies Vs South Africa,South Africa,Anrich Nortje,4,0,26,0,6.5,13,1,2,2,0,T20I # 2720
West Indies Vs South Africa,South Africa,Tabraiz Shamsi,4,0,27,3,6.75,11,3,1,0,0,T20I # 2720
West Indies Vs South Africa,South Africa,Kagiso Rabada,2,0,11,1,5.5,7,0,1,0,0,T20I # 2720
West Indies Vs South Africa,West Indies,Akeal Hosein,3,0,31,0,10.33,6,6,0,0,0,T20I # 2720
West Indies Vs South Africa,West Indies,Andre Russell,4,0,19,2,4.75,13,2,0,1,0,T20I # 2720
West Indies Vs South Africa,West Indies,Alzarri Joseph,4,0,25,2,6.25,9,1,0,1,0,T20I # 2720
West Indies Vs South Africa,West Indies,Gudakesh Motie,1,0,20,0,20,0,3,1,0,0,T20I # 2720
West Indies Vs South Africa,West Indies,Obed McCoy,1.1,0,15,0,12.85,3,1,1,3,0,T20I # 2720
West Indies Vs South Africa,West Indies,Roston Chase,3,0,12,3,4,10,1,0,0,0,T20I # 2720
England Vs USA,England,Reece Topley,3,0,29,1,9.66,8,2,2,0,0,T20I # 2719
England Vs USA,England,Jofra Archer,3,0,16,0,5.33,12,1,1,0,0,T20I # 2719
England Vs USA,England,Sam Curran,2,0,23,2,11.5,4,3,1,0,0,T20I # 2719
England Vs USA,England,Adil Rashid,4,0,13,2,3.25,13,0,0,1,0,T20I # 2719
England Vs USA,England,Liam Livingstone,4,0,24,1,6,10,1,1,0,0,T20I # 2719
England Vs USA,England,Chris Jordan,2.5,0,10,4,3.52,8,0,0,0,0,T20I # 2719
England Vs USA,USA,Saurabh Netravalkar,2,0,21,0,10.5,5,1,2,0,0,T20I # 2719
England Vs USA,USA,Harmeet Singh,2,0,36,0,18,3,0,5,2,0,T20I # 2719
England Vs USA,USA,Nosthush Kenjige,2,0,19,0,9.5,3,3,0,0,0,T20I # 2719
England Vs USA,USA,Ali Khan,2,0,26,0,13,2,2,0,2,0,T20I # 2719
England Vs USA,USA,Shadley van Schalkwyk,1.4,0,15,0,9,2,2,0,0,1,T20I # 2719
Afghanistan Vs Australia,Australia,Ashton Agar,4,1,17,0,4.25,15,1,0,0,0,T20I # 2717
Afghanistan Vs Australia,Australia,Josh Hazlewood,4,0,39,0,9.75,10,4,2,1,0,T20I # 2717
Afghanistan Vs Australia,Australia,Pat Cummins,4,0,28,3,7,13,3,1,1,0,T20I # 2717
Afghanistan Vs Australia,Australia,Adam Zampa,4,0,28,2,7,9,2,1,1,0,T20I # 2717
Afghanistan Vs Australia,Australia,Glenn Maxwell,2,0,12,0,6,5,1,0,1,0,T20I # 2717
Afghanistan Vs Australia,Australia,Marcus Stoinis,2,0,19,1,9.5,4,1,1,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Naveen-ul-Haq,4,0,20,3,5,12,2,0,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Fazalhaq Farooqi,3,0,21,0,7,8,2,0,0,1,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Azmatullah Omarzai,1.2,0,10,1,7.5,5,2,0,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Mohammad Nabi,1,0,1,1,1,5,0,0,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Nangeyalia Kharote,1,0,13,0,13,1,1,1,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Rashid Khan,4,0,23,1,5.75,11,1,1,2,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Noor Ahmad,1,0,11,0,11,3,1,0,1,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Gulbadin Naib,4,0,20,4,5,13,1,1,0,0,T20I # 2717
Bangladesh Vs India,Bangladesh,Mahedi Hasan,4,0,28,0,7,9,2,1,0,0,T20I # 2716
Bangladesh Vs India,Bangladesh,Shakib Al Hasan,3,0,37,1,12.33,5,2,3,1,0,T20I # 2716
Bangladesh Vs India,Bangladesh,Tanzim Hasan Sakib,4,0,32,2,8,11,1,3,1,0,T20I # 2716
Bangladesh Vs India,Bangladesh,Mustafizur Rahman,4,0,48,0,12,6,5,2,1,1,T20I # 2716
Bangladesh Vs India,Bangladesh,Rishad Hossain,3,0,43,2,14.33,4,2,4,2,0,T20I # 2716
Bangladesh Vs India,Bangladesh,Mahmudullah,2,0,8,0,4,5,0,0,1,0,T20I # 2716
Bangladesh Vs India,India,Arshdeep Singh,4,0,30,2,7.5,12,4,1,1,0,T20I # 2716
Bangladesh Vs India,India,Jasprit Bumrah,4,0,13,2,3.25,15,1,0,0,0,T20I # 2716
Bangladesh Vs India,India,Axar Patel,2,0,26,0,13,2,2,2,0,0,T20I # 2716
Bangladesh Vs India,India,Hardik Pandya,3,0,32,1,10.66,6,1,3,2,0,T20I # 2716
Bangladesh Vs India,India,Ravindra Jadeja,3,0,24,0,8,5,2,1,0,0,T20I # 2716
Bangladesh Vs India,India,Kuldeep Yadav,4,0,19,3,4.75,11,0,1,0,0,T20I # 2716
West Indies Vs USA,West Indies,Akeal Hosein,3,0,13,0,4.33,8,1,0,0,0,T20I # 2713
West Indies Vs USA,West Indies,Andre Russell,3.5,0,31,3,8.08,13,3,1,3,0,T20I # 2713
West Indies Vs USA,West Indies,Obed McCoy,2,0,20,0,10,4,3,0,1,0,T20I # 2713
West Indies Vs USA,West Indies,Alzarri Joseph,4,0,31,2,7.75,9,1,2,1,1,T20I # 2713
West Indies Vs USA,West Indies,Gudakesh Motie,3,0,14,1,4.66,9,1,0,0,0,T20I # 2713
West Indies Vs USA,West Indies,Roston Chase,4,0,19,3,4.75,9,1,0,1,0,T20I # 2713
West Indies Vs USA,USA,Saurabh Netravalkar,2.5,0,31,0,10.94,7,2,3,0,0,T20I # 2713
West Indies Vs USA,USA,Nosthush Kenjige,1,0,11,0,11,1,0,1,0,0,T20I # 2713
West Indies Vs USA,USA,Ali Khan,2,0,18,0,9,5,1,1,2,0,T20I # 2713
West Indies Vs USA,USA,Harmeet Singh,2,0,18,1,9,4,1,1,0,0,T20I # 2713
West Indies Vs USA,USA,Shadley van Schalkwyk,2,0,29,0,14.5,3,3,2,1,0,T20I # 2713
West Indies Vs USA,USA,Milind Kumar,1,0,22,0,22,1,0,3,1,0,T20I # 2713
England Vs South Africa,England,Reece Topley,4,0,23,0,5.75,8,1,0,2,0,T20I # 2712
England Vs South Africa,England,Moeen Ali,3,0,25,1,8.33,6,2,1,0,0,T20I # 2712
England Vs South Africa,England,Jofra Archer,4,0,40,3,10,10,3,3,1,0,T20I # 2712
England Vs South Africa,England,Sam Curran,3,0,29,0,9.66,7,1,2,1,0,T20I # 2712
England Vs South Africa,England,Adil Rashid,4,0,20,1,5,9,1,0,0,0,T20I # 2712
England Vs South Africa,England,Mark Wood,2,0,22,0,11,4,4,0,2,0,T20I # 2712
England Vs South Africa,South Africa,Marco Jansen,4,0,31,0,7.75,9,2,1,0,1,T20I # 2712
England Vs South Africa,South Africa,Kagiso Rabada,4,0,32,2,8,9,3,1,2,0,T20I # 2712
England Vs South Africa,South Africa,Keshav Maharaj,4,0,25,2,6.25,9,2,0,0,0,T20I # 2712
England Vs South Africa,South Africa,Ottneil Baartman,3,0,27,1,9,7,3,1,0,0,T20I # 2712
England Vs South Africa,South Africa,Anrich Nortje,4,0,35,1,8.75,4,4,0,1,0,T20I # 2712
England Vs South Africa,South Africa,Aiden Markram,1,0,4,0,4,2,0,0,0,0,T20I # 2712
Australia Vs Bangladesh,Australia,Mitchell Starc,4,0,21,1,5.25,15,3,0,2,0,T20I # 2711
Australia Vs Bangladesh,Australia,Josh Hazlewood,4,1,25,0,6.25,12,1,1,1,0,T20I # 2711
Australia Vs Bangladesh,Australia,Pat Cummins,4,0,29,3,7.25,8,1,0,3,0,T20I # 2711
Australia Vs Bangladesh,Australia,Adam Zampa,4,0,24,2,6,10,3,0,0,0,T20I # 2711
Australia Vs Bangladesh,Australia,Marcus Stoinis,2,0,24,1,12,3,1,2,1,0,T20I # 2711
Australia Vs Bangladesh,Australia,Glenn Maxwell,2,0,14,1,7,3,1,0,0,0,T20I # 2711
Australia Vs Bangladesh,Bangladesh,Mahedi Hasan,4,0,22,0,5.5,15,1,2,0,0,T20I # 2711
Australia Vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,1,0,9,0,9,2,1,0,0,0,T20I # 2711
Australia Vs Bangladesh,Bangladesh,Taskin Ahmed,1.2,0,22,0,16.5,2,2,2,0,0,T20I # 2711
Australia Vs Bangladesh,Bangladesh,Mustafizur Rahman,2,0,23,0,11.5,3,3,1,0,0,T20I # 2711
Australia Vs Bangladesh,Bangladesh,Rishad Hossain,3,0,23,2,7.66,7,2,1,0,0,T20I # 2711
Afghanistan Vs India,Afghanistan,Fazalhaq Farooqi,4,0,33,3,8.25,12,4,1,2,0,T20I # 2710
Afghanistan Vs India,Afghanistan,Mohammad Nabi,3,0,24,0,8,7,3,0,0,0,T20I # 2710
Afghanistan Vs India,Afghanistan,Naveen-ul-Haq,4,0,40,1,10,9,3,2,3,0,T20I # 2710
Afghanistan Vs India,Afghanistan,Rashid Khan,4,0,26,3,6.5,13,3,1,0,0,T20I # 2710
Afghanistan Vs India,Afghanistan,Noor Ahmad,3,0,30,0,10,4,1,2,1,0,T20I # 2710
Afghanistan Vs India,Afghanistan,Azmatullah Omarzai,2,0,23,0,11.5,3,2,1,1,0,T20I # 2710
Afghanistan Vs India,India,Arshdeep Singh,4,0,36,3,9,12,3,2,5,0,T20I # 2710
Afghanistan Vs India,India,Jasprit Bumrah,4,1,7,3,1.75,20,1,0,0,0,T20I # 2710
Afghanistan Vs India,India,Axar Patel,3,1,15,1,5,11,0,1,0,0,T20I # 2710
Afghanistan Vs India,India,Hardik Pandya,2,0,13,0,6.5,8,1,1,1,0,T20I # 2710
Afghanistan Vs India,India,Kuldeep Yadav,4,0,32,2,8,11,2,2,1,1,T20I # 2710
Afghanistan Vs India,India,Ravindra Jadeja,3,0,20,1,6.66,4,0,1,0,0,T20I # 2710
West Indies Vs England,England,Reece Topley,3,0,26,0,8.66,8,2,1,4,0,T20I # 2709
West Indies Vs England,England,Mark Wood,3,0,36,0,12,7,3,2,4,0,T20I # 2709
West Indies Vs England,England,Jofra Archer,4,0,34,1,8.5,12,5,1,1,0,T20I # 2709
West Indies Vs England,England,Sam Curran,3,0,25,0,8.33,9,3,1,0,0,T20I # 2709
West Indies Vs England,England,Adil Rashid,4,0,21,1,5.25,10,0,1,1,0,T20I # 2709
West Indies Vs England,England,Moeen Ali,2,0,15,1,7.5,3,0,1,0,0,T20I # 2709
West Indies Vs England,England,Liam Livingstone,1,0,20,1,20,2,0,3,0,0,T20I # 2709
West Indies Vs England,West Indies,Akeal Hosein,4,0,35,0,8.75,9,4,1,1,0,T20I # 2709
West Indies Vs England,West Indies,Romario Shepherd,2,0,41,0,20.5,2,5,3,1,0,T20I # 2709
West Indies Vs England,West Indies,Andre Russell,2,0,21,1,10.5,2,0,1,2,0,T20I # 2709
West Indies Vs England,West Indies,Alzarri Joseph,2.3,0,32,0,12.8,2,2,2,0,0,T20I # 2709
West Indies Vs England,West Indies,Gudakesh Motie,4,0,32,0,8,8,4,0,0,0,T20I # 2709
West Indies Vs England,West Indies,Roston Chase,3,0,19,1,6.33,6,1,0,2,0,T20I # 2709
South Africa Vs USA,USA,Saurabh Netravalkar,4,0,21,2,5.25,12,2,0,0,0,T20I # 2708
South Africa Vs USA,USA,Ali Khan,4,0,45,0,11.25,7,1,4,2,0,T20I # 2708
South Africa Vs USA,USA,Jasdeep Singh,2,0,36,0,18,2,2,3,2,1,T20I # 2708
South Africa Vs USA,USA,Nosthush Kenjige,3,0,29,0,9.66,2,2,1,0,0,T20I # 2708
South Africa Vs USA,USA,Harmeet Singh,4,0,24,2,6,8,2,0,0,1,T20I # 2708
South Africa Vs USA,USA,Steven Taylor,2,0,21,0,10.5,3,2,1,0,0,T20I # 2708
South Africa Vs USA,USA,Corey Anderson,1,0,17,0,17,0,2,1,0,0,T20I # 2708
South Africa Vs USA,South Africa,Marco Jansen,3,0,32,0,10.66,9,3,2,2,0,T20I # 2708
South Africa Vs USA,South Africa,Aiden Markram,1,0,13,0,13,2,1,1,0,0,T20I # 2708
South Africa Vs USA,South Africa,Kagiso Rabada,4,0,18,3,4.5,14,2,0,1,1,T20I # 2708
South Africa Vs USA,South Africa,Keshav Maharaj,4,0,24,1,6,7,0,1,0,0,T20I # 2708
South Africa Vs USA,South Africa,Anrich Nortje,4,0,37,1,9.25,10,2,3,1,0,T20I # 2708
South Africa Vs USA,South Africa,Tabraiz Shamsi,4,0,50,1,12.5,5,3,4,2,0,T20I # 2708
West Indies Vs Afghanistan,Afghanistan,Fazalhaq Farooqi,3,0,38,0,12.66,4,5,1,1,1,T20I # 2703
West Indies Vs Afghanistan,Afghanistan,Azmatullah Omarzai,2,0,41,1,20.5,5,4,3,1,1,T20I # 2703
West Indies Vs Afghanistan,Afghanistan,Rashid Khan,4,0,45,0,11.25,5,3,3,1,0,T20I # 2703
West Indies Vs Afghanistan,Afghanistan,Naveen-ul-Haq,4,0,41,1,10.25,10,4,2,2,0,T20I # 2703
West Indies Vs Afghanistan,Afghanistan,Noor Ahmad,4,0,20,0,5,6,0,0,0,0,T20I # 2703
West Indies Vs Afghanistan,Afghanistan,Mohammad Nabi,1,0,15,0,15,2,0,2,0,0,T20I # 2703
West Indies Vs Afghanistan,Afghanistan,Gulbadin Naib,2,0,14,2,7,4,0,1,0,0,T20I # 2703
West Indies Vs Afghanistan,West Indies,Akeal Hosein,4,1,21,2,5.25,14,3,0,1,0,T20I # 2703
West Indies Vs Afghanistan,West Indies,Andre Russell,2.2,0,17,1,7.28,6,1,1,0,0,T20I # 2703
West Indies Vs Afghanistan,West Indies,Alzarri Joseph,3,0,30,1,10,7,4,1,1,0,T20I # 2703
West Indies Vs Afghanistan,West Indies,Gudakesh Motie,4,0,28,2,7,12,1,2,0,0,T20I # 2703
West Indies Vs Afghanistan,West Indies,Obed McCoy,3,0,14,3,4.66,9,1,0,0,0,T20I # 2703
New Zealand Vs P.N.G,New Zealand,Trent Boult,4,0,14,2,3.5,16,2,0,0,0,T20I # 2702
New Zealand Vs P.N.G,New Zealand,Tim Southee,4,0,11,2,2.75,18,1,0,2,0,T20I # 2702
New Zealand Vs P.N.G,New Zealand,Lockie Ferguson,4,4,0,3,0,24,0,0,0,0,T20I # 2702
